WRITE 20170825-12:15:27 29.02 mB/s 1.0G
READ  20170825-12:16:04 941.879 mB/s 1.0G
WRITE 20170825-12:16:43 29.6123 mB/s 1.0G
READ  20170825-12:17:19 933.689 mB/s 1.0G
WRITE 20170825-12:17:57 29.7271 mB/s 1.0G
READ  20170825-12:18:33 933.689 mB/s 1.0G
WRITE 20170825-13:07:10 29.5552 mB/s 1.0G
READ  20170825-13:07:46 950.214 mB/s 1.0G
WRITE 20170825-13:08:23 28.9731 mB/s 1.0G
READ  20170825-13:09:00 941.879 mB/s 1.0G
WRITE 20170825-13:09:38 29.9009 mB/s 1.0G
READ  20170825-13:10:14 933.689 mB/s 1.0G
WRITE 20170825-13:10:52 29.8096 mB/s 1.0G
READ  20170825-13:11:28 950.214 mB/s 1.0G
WRITE 20170825-13:12:05 28.6408 mB/s 1.0G
READ  20170825-13:12:43 925.64 mB/s 1.0G
WRITE 20170825-13:13:20 29.5065 mB/s 1.0G
READ  20170825-13:13:57 909.951 mB/s 1.0G
WRITE 20170825-13:14:34 28.9496 mB/s 1.0G
READ  20170825-13:15:11 933.689 mB/s 1.0G
WRITE 20170825-13:15:49 29.8593 mB/s 1.0G
READ  20170825-13:16:25 941.879 mB/s 1.0G
WRITE 20170825-13:17:02 29.3613 mB/s 1.0G
READ  20170825-13:17:39 941.879 mB/s 1.0G
WRITE 20170825-13:18:16 29.3452 mB/s 1.0G
READ  20170825-13:18:52 941.879 mB/s 1.0G
WRITE 20170825-13:19:30 30.1867 mB/s 1.0G
READ  20170825-13:20:06 925.64 mB/s 1.0G
WRITE 20170825-13:20:43 29.6532 mB/s 1.0G
READ  20170825-13:21:19 941.879 mB/s 1.0G
WRITE 20170825-13:21:57 29.876 mB/s 1.0G
READ  20170825-13:22:33 941.879 mB/s 1.0G
WRITE 20170825-13:23:10 28.2118 mB/s 1.0G
READ  20170825-13:23:49 941.879 mB/s 1.0G
WRITE 20170825-13:24:26 29.3212 mB/s 1.0G
READ  20170825-13:25:03 933.689 mB/s 1.0G
WRITE 20170825-13:25:40 29.9426 mB/s 1.0G
READ  20170825-13:26:16 933.689 mB/s 1.0G
WRITE 20170825-14:16:09 29.4903 mB/s 1.0G
READ  20170825-14:16:45 950.214 mB/s 1.0G
WRITE 20170825-14:17:23 29.6123 mB/s 1.0G
READ  20170825-14:17:59 941.879 mB/s 1.0G
WRITE 20170825-14:43:45 29.539 mB/s 1.0G
READ  20170825-14:44:21 933.689 mB/s 1.0G
WRITE 20170825-14:44:59 28.557 mB/s 1.0G
READ  20170825-14:45:37 950.214 mB/s 1.0G
WRITE 20170825-14:46:16 30.1105 mB/s 1.0G
READ  20170825-14:46:51 941.879 mB/s 1.0G
WRITE 20170825-14:47:28 29.3934 mB/s 1.0G
READ  20170825-14:48:05 941.879 mB/s 1.0G
WRITE 20170825-14:48:42 29.466 mB/s 1.0G
READ  20170825-14:49:19 917.728 mB/s 1.0G
WRITE 20170825-14:49:56 29.4015 mB/s 1.0G
READ  20170825-14:50:33 925.64 mB/s 1.0G
WRITE 20170825-14:51:10 29.1936 mB/s 1.0G
READ  20170825-14:51:47 950.214 mB/s 1.0G
WRITE 20170825-14:52:25 29.9009 mB/s 1.0G
READ  20170825-14:53:01 941.879 mB/s 1.0G
WRITE 20170825-14:53:38 30.0263 mB/s 1.0G
READ  20170825-14:54:14 933.689 mB/s 1.0G
WRITE 20170825-14:54:51 29.3854 mB/s 1.0G
READ  20170825-14:55:28 941.879 mB/s 1.0G
WRITE 20170825-14:56:05 29.6041 mB/s 1.0G
READ  20170825-14:56:42 933.689 mB/s 1.0G
WRITE 20170825-14:57:19 29.4499 mB/s 1.0G
READ  20170825-14:57:56 917.728 mB/s 1.0G
WRITE 20170825-14:58:33 29.3452 mB/s 1.0G
READ  20170825-14:59:10 941.879 mB/s 1.0G
WRITE 20170825-14:59:48 29.76 mB/s 1.0G
READ  20170825-15:00:24 933.689 mB/s 1.0G
WRITE 20170825-15:01:01 29.9343 mB/s 1.0G
READ  20170825-15:01:37 917.728 mB/s 1.0G
WRITE 20170825-15:02:14 29.3292 mB/s 1.0G
READ  20170825-15:02:51 941.879 mB/s 1.0G
WRITE 20170825-15:03:28 30.1698 mB/s 1.0G
READ  20170825-15:04:04 941.879 mB/s 1.0G
WRITE 20170825-15:04:42 29.3532 mB/s 1.0G
READ  20170825-15:05:18 933.689 mB/s 1.0G
WRITE 20170825-15:05:56 30.2548 mB/s 1.0G
READ  20170825-15:06:31 941.879 mB/s 1.0G
WRITE 20170825-15:07:09 29.976 mB/s 1.0G
READ  20170825-15:07:45 933.689 mB/s 1.0G
WRITE 20170825-15:08:23 29.3372 mB/s 1.0G
READ  20170825-15:09:00 941.879 mB/s 1.0G
WRITE 20170825-15:09:38 29.4176 mB/s 1.0G
READ  20170825-15:10:14 941.879 mB/s 1.0G
WRITE 20170825-15:10:52 29.1698 mB/s 1.0G
READ  20170825-15:11:29 941.879 mB/s 1.0G
WRITE 20170825-15:12:06 28.8098 mB/s 1.0G
READ  20170825-15:12:44 933.689 mB/s 1.0G
WRITE 20170825-15:13:22 29.4418 mB/s 1.0G
READ  20170825-15:13:58 933.689 mB/s 1.0G
WRITE 20170825-15:14:36 29.1461 mB/s 1.0G
READ  20170825-15:15:13 925.64 mB/s 1.0G
WRITE 20170825-15:15:51 29.7518 mB/s 1.0G
READ  20170825-15:16:27 933.689 mB/s 1.0G
WRITE 20170825-15:17:07 29.1778 mB/s 1.0G
READ  20170825-15:17:44 
